server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
atl.speedtest.clouvider.net,20,128.03,163.338,145.443,16.277
atl.speedtest.clouvider.net,30,132.476,181.763,147.39,20.092
atl.speedtest.clouvider.net,40,138.056,165.012,153.187,9.731
atl.speedtest.clouvider.net,50,132.431,266.318,184.141,51.712
atl.speedtest.clouvider.net,60,132.404,148.911,139.195,6.055
atl.speedtest.clouvider.net,70,139.603,200.182,158.984,24.351
atl.speedtest.clouvider.net,80,137.653,195.045,156.802,23.223
atl.speedtest.clouvider.net,90,151.048,191.036,163.496,16.227
atl.speedtest.clouvider.net,100,129.672,142.473,136.42,5.007
atl.speedtest.clouvider.net,110,149.762,189.695,169.951,18.905
atl.speedtest.clouvider.net,120,137.497,192.955,156.731,21.602
atl.speedtest.clouvider.net,130,127.817,204.172,166.925,27.074
atl.speedtest.clouvider.net,140,130.433,182.851,159.368,23.427
atl.speedtest.clouvider.net,150,139.228,187.242,156.986,18.089
atl.speedtest.clouvider.net,160,130.488,191.547,162.404,27.811
atl.speedtest.clouvider.net,170,130.761,190.351,162.851,27.139
atl.speedtest.clouvider.net,180,150.547,188.283,167.165,16.259
atl.speedtest.clouvider.net,190,141.326,152.6,148.293,4.202
atl.speedtest.clouvider.net,200,131.173,188.818,157.107,24.099
atl.speedtest.clouvider.net,210,132.841,168.735,149.096,13.133
atl.speedtest.clouvider.net,220,131.565,154.697,139.849,9.341
atl.speedtest.clouvider.net,230,130.275,159.066,146.138,10.683
atl.speedtest.clouvider.net,240,125.534,157.762,140.415,14.467
atl.speedtest.clouvider.net,250,126.729,197.624,152.41,27.304
atl.speedtest.clouvider.net,260,130.332,155.892,141.007,9.305
atl.speedtest.clouvider.net,270,129.426,139.671,133.92,4.245
atl.speedtest.clouvider.net,280,135.838,176.584,149.75,16.25
atl.speedtest.clouvider.net,290,132.586,190.967,165.917,24.605
atl.speedtest.clouvider.net,300,132.483,150.748,140.508,8.159
atl.speedtest.clouvider.net,310,125.075,149.486,138.245,8.818
atl.speedtest.clouvider.net,320,131.45,167.549,147.627,13.035
atl.speedtest.clouvider.net,330,125.204,158.605,146.842,13.46
atl.speedtest.clouvider.net,340,140.69,203.377,165.096,23.992
atl.speedtest.clouvider.net,350,134.696,201.551,162.918,24.374
atl.speedtest.clouvider.net,360,129.128,196.738,153.986,26.944
atl.speedtest.clouvider.net,370,137.85,144.623,141.178,2.818
atl.speedtest.clouvider.net,380,124.925,252.763,162.621,52.834
atl.speedtest.clouvider.net,390,133.567,152.391,138.925,7.824
atl.speedtest.clouvider.net,400,124.734,129.761,127.234,2.39
atl.speedtest.clouvider.net,410,124.82,148.309,136.403,10.642
atl.speedtest.clouvider.net,420,128.597,168.441,143.123,15.106
atl.speedtest.clouvider.net,430,125.523,137.742,131.968,4.335
atl.speedtest.clouvider.net,440,128.587,147.614,137.375,6.813
atl.speedtest.clouvider.net,450,129.533,154.056,146.811,10.026
atl.speedtest.clouvider.net,460,127.145,247.178,171.507,47.673
atl.speedtest.clouvider.net,470,153.68,191.089,172.639,15.843
atl.speedtest.clouvider.net,480,137.911,175.535,153.399,16.038
atl.speedtest.clouvider.net,490,153.862,232.854,194.939,27.973
atl.speedtest.clouvider.net,500,141.05,228.165,182.302,38.898
atl.speedtest.clouvider.net,510,138.365,200.609,161.148,24.459
atl.speedtest.clouvider.net,520,165.483,207.009,185.956,19.369
atl.speedtest.clouvider.net,530,143.193,229.211,178.897,34.001
atl.speedtest.clouvider.net,540,155.78,196.927,176.241,20.044
atl.speedtest.clouvider.net,550,152.211,200.653,174.366,22.155
atl.speedtest.clouvider.net,560,129.505,154.707,141.768,11.894
