server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
atl.speedtest.clouvider.net,20,130.561,191.312,153.689,22.935
atl.speedtest.clouvider.net,30,131.601,161.085,139.559,12.444
atl.speedtest.clouvider.net,40,132.687,173.493,145.894,16.136
atl.speedtest.clouvider.net,50,132.658,261.01,170.555,52.546
atl.speedtest.clouvider.net,60,151.211,189.71,163.06,15.625
atl.speedtest.clouvider.net,70,131.452,191.16,152.872,23.029
atl.speedtest.clouvider.net,80,130.487,200.584,162.976,24.918
atl.speedtest.clouvider.net,90,150.977,191.849,171.06,19.307
atl.speedtest.clouvider.net,100,149.569,191.165,170.245,19.308
atl.speedtest.clouvider.net,110,149.482,195.664,172.239,21.335
atl.speedtest.clouvider.net,120,144.651,221.699,182.47,27.281
atl.speedtest.clouvider.net,130,141.117,192.83,169.505,23.306
atl.speedtest.clouvider.net,140,139.753,187.843,160.249,17.615
atl.speedtest.clouvider.net,150,150.206,259.955,187.861,44.329
atl.speedtest.clouvider.net,160,146.73,188.975,162.621,16.142
atl.speedtest.clouvider.net,170,150.312,191.309,170.712,19.308
atl.speedtest.clouvider.net,180,150.325,191.311,160.983,17.516
atl.speedtest.clouvider.net,190,139.506,192.455,161.142,19.583
atl.speedtest.clouvider.net,200,135.571,200.637,162.083,24.141
atl.speedtest.clouvider.net,210,140.282,214.031,174.273,26.248
atl.speedtest.clouvider.net,220,135.542,187.711,156.309,19.222
atl.speedtest.clouvider.net,230,150.713,189.05,166.525,15.443
atl.speedtest.clouvider.net,240,138.177,192.611,158.792,20.348
atl.speedtest.clouvider.net,250,136.342,205.846,177.019,29.026
atl.speedtest.clouvider.net,260,145.165,189.572,158.471,18.081
atl.speedtest.clouvider.net,270,132.537,192.025,161.263,22.025
atl.speedtest.clouvider.net,280,132.818,145.445,137.697,4.716
atl.speedtest.clouvider.net,290,138.059,172.553,148.832,13.987
atl.speedtest.clouvider.net,300,139.325,200.796,161.067,23.52
atl.speedtest.clouvider.net,310,137.844,174.981,150.985,14.361
atl.speedtest.clouvider.net,320,128.85,146.159,139.442,6.804
atl.speedtest.clouvider.net,330,132.635,175.218,155.226,18.844
atl.speedtest.clouvider.net,340,152.163,189.983,171.584,17.002
atl.speedtest.clouvider.net,350,136.827,188.583,157.067,19.166
atl.speedtest.clouvider.net,360,152.415,192.606,167.394,16.558
atl.speedtest.clouvider.net,370,135.636,206.366,170.168,25.48
atl.speedtest.clouvider.net,380,140.713,188.975,161.184,17.718
atl.speedtest.clouvider.net,390,136.45,187.723,156.411,19.034
atl.speedtest.clouvider.net,400,143.205,191.279,156.823,20.055
atl.speedtest.clouvider.net,410,142.867,197.012,166.256,19.84
atl.speedtest.clouvider.net,420,143.615,190.108,157.812,18.764
atl.speedtest.clouvider.net,430,132.846,194.695,155.473,23.464
atl.speedtest.clouvider.net,440,138.675,166.821,154.111,10.057
atl.speedtest.clouvider.net,450,142.817,172.159,155.259,10.88
atl.speedtest.clouvider.net,460,150.128,178.927,158.508,11.839
atl.speedtest.clouvider.net,470,161.419,175.934,167.408,6.188
atl.speedtest.clouvider.net,480,172.679,221.515,197.78,22.102
atl.speedtest.clouvider.net,490,137.964,198.874,168.789,25.582
atl.speedtest.clouvider.net,500,136.989,188.725,156.892,19.248
atl.speedtest.clouvider.net,510,149.619,190.839,161.376,17.052
atl.speedtest.clouvider.net,520,142.43,159.766,151.16,8.034
atl.speedtest.clouvider.net,530,142.904,175.947,159.177,15.899
atl.speedtest.clouvider.net,540,148.879,187.998,161.45,15.564
atl.speedtest.clouvider.net,550,150.686,158.695,153.933,2.994
atl.speedtest.clouvider.net,560,144.857,181.804,164.765,13.466
atl.speedtest.clouvider.net,570,131.767,209.073,162.428,29.524
atl.speedtest.clouvider.net,580,137.614,190.643,164.917,19.251
