server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
atl.speedtest.clouvider.net,20,98.834,98.857,98.845,0.008
atl.speedtest.clouvider.net,30,98.821,99.156,98.949,0.125
atl.speedtest.clouvider.net,40,98.859,99.076,98.94,0.081
atl.speedtest.clouvider.net,50,98.848,99.122,98.958,0.103
atl.speedtest.clouvider.net,60,98.845,98.949,98.877,0.041
atl.speedtest.clouvider.net,70,98.857,98.95,98.909,0.033
atl.speedtest.clouvider.net,80,98.879,98.957,98.911,0.03
atl.speedtest.clouvider.net,90,98.865,99.094,98.948,0.088
atl.speedtest.clouvider.net,100,98.815,99.066,98.91,0.095
atl.speedtest.clouvider.net,110,98.85,99.186,98.97,0.128
atl.speedtest.clouvider.net,120,98.832,98.975,98.893,0.051
atl.speedtest.clouvider.net,130,98.796,99.231,98.99,0.162
atl.speedtest.clouvider.net,140,98.894,98.996,98.944,0.038
atl.speedtest.clouvider.net,150,98.843,98.904,98.882,0.023
atl.speedtest.clouvider.net,160,98.927,99.116,98.983,0.077
atl.speedtest.clouvider.net,170,98.831,99.023,98.915,0.069
atl.speedtest.clouvider.net,180,98.844,99.036,98.911,0.078
atl.speedtest.clouvider.net,190,98.938,99.405,99.098,0.18
atl.speedtest.clouvider.net,200,98.813,99.082,98.917,0.1
atl.speedtest.clouvider.net,210,98.846,98.927,98.893,0.03
atl.speedtest.clouvider.net,220,98.87,98.966,98.923,0.034
atl.speedtest.clouvider.net,230,98.827,98.918,98.89,0.036
atl.speedtest.clouvider.net,240,98.845,99.151,98.997,0.123
atl.speedtest.clouvider.net,250,98.827,98.979,98.917,0.056
atl.speedtest.clouvider.net,260,98.88,99.004,98.939,0.051
atl.speedtest.clouvider.net,270,98.836,99.112,98.936,0.104
atl.speedtest.clouvider.net,280,98.917,98.945,98.93,0.011
atl.speedtest.clouvider.net,290,98.912,99.06,98.959,0.058
atl.speedtest.clouvider.net,300,98.883,98.979,98.921,0.036
atl.speedtest.clouvider.net,310,98.91,99.294,99.06,0.153
atl.speedtest.clouvider.net,320,98.942,99.044,98.997,0.038
atl.speedtest.clouvider.net,330,98.886,100.572,99.314,0.726
atl.speedtest.clouvider.net,340,98.848,98.922,98.889,0.03
atl.speedtest.clouvider.net,350,98.826,98.91,98.866,0.031
atl.speedtest.clouvider.net,360,98.884,98.91,98.896,0.01
atl.speedtest.clouvider.net,370,98.845,99.384,99.024,0.211
atl.speedtest.clouvider.net,380,98.829,99.169,98.942,0.133
atl.speedtest.clouvider.net,390,98.836,98.907,98.879,0.027
atl.speedtest.clouvider.net,400,98.943,99.237,99.059,0.108
atl.speedtest.clouvider.net,410,99.066,99.28,99.18,0.083
atl.speedtest.clouvider.net,420,98.793,98.918,98.871,0.047
atl.speedtest.clouvider.net,430,98.886,99.075,98.989,0.08
atl.speedtest.clouvider.net,440,98.856,99.109,98.96,0.092
atl.speedtest.clouvider.net,450,98.845,99.089,98.946,0.089
atl.speedtest.clouvider.net,460,98.877,98.971,98.914,0.035
atl.speedtest.clouvider.net,470,98.853,98.935,98.891,0.029
atl.speedtest.clouvider.net,480,98.888,98.952,98.93,0.025
atl.speedtest.clouvider.net,490,98.856,99.126,98.945,0.106
atl.speedtest.clouvider.net,500,98.831,98.92,98.888,0.036
atl.speedtest.clouvider.net,510,98.88,98.933,98.904,0.021
atl.speedtest.clouvider.net,520,98.822,98.997,98.891,0.069
atl.speedtest.clouvider.net,530,98.84,98.897,98.873,0.02
atl.speedtest.clouvider.net,540,98.863,99.051,98.932,0.072
atl.speedtest.clouvider.net,550,98.838,98.914,98.883,0.028
atl.speedtest.clouvider.net,560,98.864,99.072,98.931,0.082
atl.speedtest.clouvider.net,570,98.849,98.891,98.877,0.017
atl.speedtest.clouvider.net,580,98.841,98.949,98.879,0.043
atl.speedtest.clouvider.net,590,98.851,98.939,98.895,0.04
atl.speedtest.clouvider.net,600,98.847,99.093,98.94,0.096
atl.speedtest.clouvider.net,610,98.837,99.137,98.942,0.116
atl.speedtest.clouvider.net,620,98.836,98.97,98.908,0.048
atl.speedtest.clouvider.net,630,98.852,99.078,98.928,0.088
